project_name,class_name,wmc,cbo,dit,lcom,rfc,noc,numberOfLinesOfCode,numberOfMethods,numberOfVersionsUntil,numberOfAuthorsUntil,linesAddedUntil,maxLinesAddedUntil,avgLinesAddedUntil,linesRemovedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,codeChurnUntil,maxCodeChurnUntil,avgCodeChurnUntil,ageWithRespectTo,weightedAgeWithRespectTo,defective
eclipse,org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder,20.0,9,2,15,34.0,0,122.0,6.0,65,8,608.0,158.0,9.35385,566.0,158.0,8.70769,42.0,15.0,0.646154,350.571,63.0609,0
eclipse,org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry,1.0,1,1,0,1.0,0,4.0,1.0,2,2,10.0,10.0,5.0,0.0,0.0,0.0,10.0,10.0,5.0,117.714,0.0,0
eclipse,org::eclipse::jdt::internal::compiler::ast::ASTNode,176.0,114,1,190,156.0,6,484.0,20.0,120,12,1361.0,99.0,11.3417,768.0,77.0,6.4,593.0,66.0,4.94167,238.429,104.204,1
eclipse,org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding,12.0,5,6,10,18.0,0,33.0,5.0,28,5,138.0,39.0,4.92857,123.0,39.0,4.39286,15.0,23.0,0.535714,367.0,112.678,0
eclipse,org::eclipse::jdt::internal::eval::CodeSnippetParser,115.0,23,2,820,174.0,0,673.0,41.0,93,8,1870.0,684.0,20.1075,1881.0,692.0,20.2258,-11.0,18.0,-0.11828,367.0,54.9702,0
eclipse,org::eclipse::jdt::internal::formatter::Location,2.0,2,1,1,4.0,0,16.0,2.0,16,5,37.0,6.0,2.3125,17.0,6.0,1.0625,20.0,4.0,1.25,264.857,48.8224,0
eclipse,org::eclipse::jdt::core::dom::SingleMemberAnnotation,23.0,6,4,78,46.0,0,87.0,13.0,30,5,535.0,142.0,17.8333,74.0,13.0,2.46667,461.0,142.0,15.3667,226.0,3.2259,0
eclipse,org::eclipse::jdt::internal::compiler::parser::NLSTag,2.0,2,1,1,2.0,0,9.0,2.0,7,2,14.0,7.0,2.0,29.0,27.0,4.14286,-15.0,4.0,-2.14286,150.714,12.1531,0
eclipse,org::eclipse::jdt::internal::compiler::parser::RecoveredBlock,64.0,11,3,105,50.0,0,250.0,15.0,52,7,1075.0,343.0,20.6731,889.0,343.0,17.0962,186.0,68.0,3.57692,367.0,81.1875,0
eclipse,org::eclipse::jdt::internal::core::CompilationUnitElementInfo,3.0,4,3,6,5.0,1,9.0,4.0,23,6,122.0,42.0,5.30435,138.0,42.0,6.0,-16.0,16.0,-0.695652,367.0,84.4309,0
eclipse,org::eclipse::jdt::core::dom::MemberRef,25.0,6,2,105,51.0,0,95.0,15.0,25,5,228.0,82.0,9.12,61.0,8.0,2.44,167.0,74.0,6.68,229.714,10.4781,0
eclipse,org::eclipse::jdt::internal::core::util::Annotation,10.0,8,2,15,14.0,0,42.0,6.0,11,3,193.0,81.0,17.5455,12.0,4.0,1.09091,181.0,81.0,16.4545,222.857,13.1984,0
eclipse,org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference,14.0,5,7,3,22.0,0,42.0,3.0,32,5,219.0,89.0,6.84375,207.0,89.0,6.46875,12.0,11.0,0.375,367.0,53.9478,0
eclipse,org::eclipse::jdt::internal::compiler::flow::LoopingFlowContext,93.0,12,3,78,125.0,0,387.0,13.0,52,5,991.0,226.0,19.0577,633.0,148.0,12.1731,358.0,161.0,6.88462,367.0,136.59,0
eclipse,org::eclipse::jdt::internal::core::util::KeyKind,19.0,1,2,136,18.0,0,53.0,17.0,13,4,91.0,31.0,7.0,49.0,14.0,3.76923,42.0,17.0,3.23077,175.0,35.4835,0
eclipse,org::eclipse::jdt::core::dom::ChildListPropertyDescriptor,4.0,4,2,3,4.0,0,14.0,3.0,9,4,11.0,5.0,1.22222,10.0,5.0,1.11111,1.0,1.0,0.111111,224.857,86.3117,0
eclipse,org::eclipse::jdt::internal::compiler::ast::TypeDeclaration,148.0,63,3,351,172.0,2,624.0,27.0,193,12,6571.0,1071.0,34.0466,6072.0,1123.0,31.4611,499.0,174.0,2.58549,367.0,111.711,1
eclipse,org::eclipse::jdt::core::dom::ASTRequestor,6.0,1,1,6,5.0,1,20.0,4.0,12,5,228.0,53.0,19.0,162.0,35.0,13.5,66.0,40.0,5.5,193.571,4.72807,0
eclipse,org::eclipse::jdt::internal::core::search::AbstractJavaSearchScope,0.0,1,2,1,2.0,2,0.0,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.85714,0.0,0
eclipse,org::eclipse::jdt::core::search::SearchPattern,276.0,36,2,190,244.0,2,1126.0,20.0,91,9,6880.0,1627.0,75.6044,5271.0,1359.0,57.9231,1609.0,583.0,17.6813,236.0,96.0161,1
eclipse,org::eclipse::jdt::core::jdom::DOMFactory,17.0,4,1,45,34.0,0,52.0,10.0,35,7,405.0,155.0,11.5714,409.0,155.0,11.6857,-4.0,12.0,-0.114286,367.0,46.4272,0
eclipse,org::eclipse::jdt::internal::core::util::SignatureAttribute,4.0,6,3,3,8.0,0,16.0,3.0,6,3,104.0,49.0,17.3333,6.0,4.0,1.0,98.0,49.0,16.3333,228.857,14.8173,0
eclipse,org::eclipse::jdt::internal::core::BinaryMember,29.0,18,6,91,61.0,3,127.0,14.0,43,6,409.0,105.0,9.51163,317.0,110.0,7.37209,92.0,79.0,2.13953,367.0,133.861,1
eclipse,org::eclipse::jdt::internal::compiler::ast::MessageSend,166.0,22,4,136,191.0,5,494.0,17.0,168,10,2126.0,307.0,12.6548,1719.0,307.0,10.2321,407.0,63.0,2.42262,367.0,129.876,1
eclipse,org::eclipse::jdt::internal::core::XMLWriter,1.0,2,2,0,2.0,0,3.0,1.0,20,7,115.0,14.0,5.75,175.0,94.0,8.75,-60.0,5.0,-3.0,244.571,99.8596,0
eclipse,org::eclipse::jdt::internal::compiler::parser::JavadocParser,212.0,27,2,210,171.0,4,795.0,21.0,92,9,2972.0,319.0,32.3043,3264.0,892.0,35.4783,-292.0,168.0,-3.17391,239.143,49.4217,1
eclipse,org::eclipse::jdt::internal::eval::CodeSnippetSingleNameReference,156.0,21,7,55,220.0,0,591.0,11.0,76,7,1763.0,600.0,23.1974,1852.0,600.0,24.3684,-89.0,43.0,-1.17105,367.0,81.0014,1
eclipse,org::eclipse::jdt::internal::compiler::parser::RecoveredInitializer,39.0,9,3,45,40.0,0,166.0,10.0,54,7,740.0,243.0,13.7037,669.0,243.0,12.3889,71.0,85.0,1.31481,367.0,94.1838,0
eclipse,org::eclipse::jdt::internal::core::util::WeakHashSetOfCharArray,37.0,3,1,45,40.0,0,144.0,10.0,4,4,18.0,17.0,4.5,7.0,6.0,1.75,11.0,11.0,2.75,141.714,23.2937,0
eclipse,org::eclipse::jdt::internal::compiler::ast::Expression,234.0,108,3,528,281.0,15,760.0,33.0,149,11,5262.0,483.0,35.3154,4660.0,483.0,31.2752,602.0,226.0,4.04027,367.0,148.462,0
