outer_test_project,class_weight,max_depth,max_features,min_samples_leaf,n_estimators,mean_pr_auc,mean_roc_auc,mean_brier
eclipse,balanced,,sqrt,1,200,0.39318316647126594,0.7244395353194146,0.14421644893783833
eclipse,balanced,,sqrt,3,200,0.41041775657523805,0.7256432417237069,0.14770731348186736
eclipse,balanced,,sqrt,5,200,0.4253718531519978,0.7326814031346818,0.1529064197961843
eclipse,balanced,,0.5,1,200,0.38198292919853766,0.708311064066296,0.14634979151033164
eclipse,balanced,,0.5,3,200,0.404821899244195,0.7256151233070813,0.1474263241157443
eclipse,balanced,,0.5,5,200,0.413573558680614,0.732497376839079,0.1517597115169314
eclipse,balanced,10.0,sqrt,1,200,0.41178075942163317,0.7293228974128256,0.14506791815666653
eclipse,balanced,10.0,sqrt,3,200,0.4112820696895917,0.7318984355237796,0.15101384452658476
eclipse,balanced,10.0,sqrt,5,200,0.4217129788565708,0.736857263570542,0.15569494813200851
eclipse,balanced,10.0,0.5,1,200,0.4093802609657672,0.7304801479320515,0.14503841284915492
eclipse,balanced,10.0,0.5,3,200,0.4150339322351566,0.7392787475651643,0.14904498944253008
eclipse,balanced,10.0,0.5,5,200,0.42052821906245663,0.7387138586766928,0.15380529227967868
eclipse,balanced,20.0,sqrt,1,200,0.39956291831462776,0.7271451792980004,0.14399961440817483
eclipse,balanced,20.0,sqrt,3,200,0.41142242718971994,0.7262802348420802,0.14755330450259568
eclipse,balanced,20.0,sqrt,5,200,0.4237671065686928,0.7319939131337454,0.1529912675651189
eclipse,balanced,20.0,0.5,1,200,0.3949451320398567,0.7153830847799181,0.1447393688064269
eclipse,balanced,20.0,0.5,3,200,0.4047812775085069,0.7255629494978175,0.14744928180958236
eclipse,balanced,20.0,0.5,5,200,0.41338302163586127,0.732473101093464,0.15171205680832467
eclipse,balanced_subsample,,sqrt,1,200,0.3994508713963944,0.7222098352028499,0.14391194184906114
eclipse,balanced_subsample,,sqrt,3,200,0.4167612340378035,0.7261272065690243,0.146044046440699
eclipse,balanced_subsample,,sqrt,5,200,0.4220457151146831,0.7322216721612067,0.15307574256549406
eclipse,balanced_subsample,,0.5,1,200,0.3928503136893602,0.7131024636060619,0.145193493018874
eclipse,balanced_subsample,,0.5,3,200,0.40571556976905904,0.7244466770106706,0.1470630492935464
eclipse,balanced_subsample,,0.5,5,200,0.41088632700798766,0.7287133990764445,0.15220844583790924
eclipse,balanced_subsample,10.0,sqrt,1,200,0.4113001343206569,0.7301374782241264,0.14582897736136058
eclipse,balanced_subsample,10.0,sqrt,3,200,0.4210168813772669,0.7328000051860871,0.15025729020626202
eclipse,balanced_subsample,10.0,sqrt,5,200,0.42718109983642905,0.7364032735048449,0.15570874482440544
eclipse,balanced_subsample,10.0,0.5,1,200,0.41091843372728526,0.7317760537903832,0.14468477040563418
eclipse,balanced_subsample,10.0,0.5,3,200,0.41552095943063594,0.734552725683196,0.14885966984293855
eclipse,balanced_subsample,10.0,0.5,5,200,0.4168446832594826,0.7389074864728238,0.15343816251090553
eclipse,balanced_subsample,20.0,sqrt,1,200,0.400827923108439,0.7266881427279734,0.14333856694788924
eclipse,balanced_subsample,20.0,sqrt,3,200,0.4186722796580146,0.7275586074881171,0.1457775285246834
eclipse,balanced_subsample,20.0,sqrt,5,200,0.420713010639687,0.7323686523523765,0.15307402335572262
eclipse,balanced_subsample,20.0,0.5,1,200,0.39677577791598806,0.7176402280197941,0.14459135785552857
eclipse,balanced_subsample,20.0,0.5,3,200,0.4053829828115007,0.7243467259367651,0.14721243053503813
eclipse,balanced_subsample,20.0,0.5,5,200,0.41165505616280684,0.7288901681727595,0.15213755075893742
equinox,balanced,,sqrt,1,200,0.34632965584433456,0.7109875785231963,0.10953896653844862
equinox,balanced,,sqrt,3,200,0.3584485004385509,0.717410080971212,0.11958610068400799
equinox,balanced,,sqrt,5,200,0.3761043874354101,0.7243082615138208,0.12986299924739048
equinox,balanced,,0.5,1,200,0.32439161826459884,0.6945103074041026,0.11241861933175139
equinox,balanced,,0.5,3,200,0.35050550219449755,0.7019473039194564,0.1192570505363465
equinox,balanced,,0.5,5,200,0.3571777879263196,0.7153306728435304,0.12957784346989662
equinox,balanced,10.0,sqrt,1,200,0.34334006379045245,0.7111000737550801,0.12609253126736925
equinox,balanced,10.0,sqrt,3,200,0.3599739825889172,0.724954304449382,0.13258057839422402
equinox,balanced,10.0,sqrt,5,200,0.377370463819789,0.7251128945113476,0.13868781921742054
equinox,balanced,10.0,0.5,1,200,0.33772279236756353,0.7012563746867135,0.1283970860852212
equinox,balanced,10.0,0.5,3,200,0.35345121978090865,0.7114355581645366,0.13194199564600903
equinox,balanced,10.0,0.5,5,200,0.3599134107555969,0.7167639221798574,0.13689003029569385
equinox,balanced,20.0,sqrt,1,200,0.34288570887623726,0.7063204349911061,0.11028520251787888
equinox,balanced,20.0,sqrt,3,200,0.3607351850798244,0.7175913821995412,0.11940350916586707
equinox,balanced,20.0,sqrt,5,200,0.3755738232534791,0.7244436307387735,0.12981658180919803
equinox,balanced,20.0,0.5,1,200,0.32732401491308394,0.6970746468173257,0.11326852279932424
equinox,balanced,20.0,0.5,3,200,0.3513848429564671,0.7028437157527081,0.11915628516655669
equinox,balanced,20.0,0.5,5,200,0.35597972774649367,0.7147519053183868,0.1298078746596192
equinox,balanced_subsample,,sqrt,1,200,0.35149087813485314,0.7092510700008062,0.10899256009261213
equinox,balanced_subsample,,sqrt,3,200,0.3711212309149556,0.7224364026442497,0.11832870967084991
equinox,balanced_subsample,,sqrt,5,200,0.3690299492158698,0.7213840152105497,0.12969912029033834
equinox,balanced_subsample,,0.5,1,200,0.3334462424106146,0.6961436585715134,0.11188813724010407
equinox,balanced_subsample,,0.5,3,200,0.3566287014254675,0.709875331155432,0.1190679880622855
equinox,balanced_subsample,,0.5,5,200,0.35075205509028384,0.7124007862679523,0.1301795859578297
equinox,balanced_subsample,10.0,sqrt,1,200,0.34484779426851103,0.7144293301403044,0.12587285262411765
equinox,balanced_subsample,10.0,sqrt,3,200,0.36331943908649506,0.722864808164231,0.1321789321233157
equinox,balanced_subsample,10.0,sqrt,5,200,0.37422629342113034,0.7277542871082638,0.1386096760367847
equinox,balanced_subsample,10.0,0.5,1,200,0.33220890263974845,0.7038003688230823,0.1296370921953188
equinox,balanced_subsample,10.0,0.5,3,200,0.34905934863695137,0.7083261119684214,0.13264805438570207
equinox,balanced_subsample,10.0,0.5,5,200,0.35268033886508054,0.7132120816926096,0.13773610112224857
equinox,balanced_subsample,20.0,sqrt,1,200,0.3493196187162061,0.7083235405999838,0.10981174197632944
equinox,balanced_subsample,20.0,sqrt,3,200,0.37058178345696047,0.7206043883755416,0.11883745147968408
equinox,balanced_subsample,20.0,sqrt,5,200,0.36880277364412695,0.7208259545337552,0.1297261654076014
equinox,balanced_subsample,20.0,0.5,1,200,0.33175138681838295,0.6888269921634615,0.11264892624889765
equinox,balanced_subsample,20.0,0.5,3,200,0.3575173323263774,0.7090149469032102,0.1193731486031824
equinox,balanced_subsample,20.0,0.5,5,200,0.35224551014898553,0.7123654773758252,0.13019050571033733
